low_q,high_q,mid_q,adx_threshold,max_loss_pct_of_cap,beta_window,pct_lookback,max_hold_bars,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.3,0.92,0.55,15.0,0.02,400,2500,300,398,340,58,0.8334104103116968,0.9042834574415006,0.8334104103116968
0.3,0.92,0.55,15.0,0.02,500,750,150,647,543,104,0.33060361697642937,1.9234933404657981,0.33060361697642937
0.3,0.92,0.55,15.0,0.02,500,750,300,505,429,76,0.6767695731534272,2.366867498840079,0.6767695731534272
0.3,0.92,0.55,15.0,0.02,500,1500,150,555,467,88,0.5199435369656517,2.180291368477627,0.5199435369656517
0.3,0.92,0.55,15.0,0.02,500,1500,300,427,363,64,0.6164655297975715,2.3024473837180386,0.6164655297975715
0.3,0.92,0.55,15.0,0.02,500,2500,150,513,437,76,0.7109322026524914,2.2538582902768725,0.7109322026524914
0.3,0.92,0.55,15.0,0.02,500,2500,300,394,339,55,0.7937338297062928,1.8702815018211878,0.7937338297062928
0.3,0.92,0.55,15.0,0.03,100,750,150,850,725,125,0.2943495287929548,0.024005114217678532,0.024005114217678532
0.3,0.92,0.55,15.0,0.03,100,750,300,809,688,121,-0.30528751841319035,-0.21802131316399123,-0.30528751841319035
0.3,0.92,0.55,15.0,0.03,100,1500,150,786,661,125,-0.37850384945533777,0.32051884151336757,-0.37850384945533777
0.3,0.92,0.55,15.0,0.03,100,1500,300,741,622,119,0.12409439344419024,0.5786062979308608,0.12409439344419024
0.3,0.92,0.55,15.0,0.03,100,2500,150,738,617,121,0.22003644534740358,-0.08980299946038024,-0.08980299946038024
0.3,0.92,0.55,15.0,0.03,100,2500,300,687,574,113,-0.6576789089000116,0.04477252412111335,-0.6576789089000116
0.3,0.92,0.55,15.0,0.03,200,750,150,694,588,106,-0.13874886077688295,0.6015760205940662,-0.13874886077688295
0.3,0.92,0.55,15.0,0.03,200,750,300,612,511,101,-0.025539548693212597,0.5442556821643306,-0.025539548693212597
0.3,0.92,0.55,15.0,0.03,200,1500,150,631,524,107,0.024340661427781414,0.21345020586610797,0.024340661427781414
0.3,0.92,0.55,15.0,0.03,200,1500,300,549,451,98,-0.026390886605741518,0.5274247910701524,-0.026390886605741518
0.3,0.92,0.55,15.0,0.03,200,2500,150,612,509,103,-0.05661204791572576,0.3494448971557052,-0.05661204791572576
0.3,0.92,0.55,15.0,0.03,200,2500,300,537,443,94,-0.22597798680874243,0.6848495397482846,-0.22597798680874243
0.3,0.92,0.55,15.0,0.03,400,750,150,612,517,95,0.2873632288361773,0.8493110193650438,0.2873632288361773
0.3,0.92,0.55,15.0,0.03,400,750,300,496,423,73,0.6425721629357012,1.6980002832373433,0.6425721629357012
0.3,0.92,0.55,15.0,0.03,400,1500,150,535,453,82,0.6505905233899677,1.4947760633187999,0.6505905233899677
0.3,0.92,0.55,15.0,0.03,400,1500,300,412,351,61,0.7563577650404664,2.2878356849476975,0.7563577650404664
0.3,0.92,0.55,15.0,0.03,400,2500,150,509,432,77,0.6368627857974632,0.8415155034724833,0.6368627857974632
0.3,0.92,0.55,15.0,0.03,400,2500,300,385,328,57,0.8053077307872731,1.0753077595863274,0.8053077307872731
0.3,0.92,0.55,15.0,0.03,500,750,150,641,538,103,0.3129021429359573,1.8855058414869226,0.3129021429359573
0.3,0.92,0.55,15.0,0.03,500,750,300,491,415,76,0.6079522935324837,2.411063562460189,0.6079522935324837
0.3,0.92,0.55,15.0,0.03,500,1500,150,544,456,88,0.5167700154439253,2.4492226468688747,0.5167700154439253
0.3,0.92,0.55,15.0,0.03,500,1500,300,413,349,64,0.538229179921331,2.4942265700713078,0.538229179921331
0.3,0.92,0.55,15.0,0.03,500,2500,150,504,428,76,0.6929682458932501,2.5300438496546014,0.6929682458932501
0.3,0.92,0.55,15.0,0.03,500,2500,300,381,326,55,0.8532225436051557,2.1597593852048584,0.8532225436051557
0.3,0.92,0.55,15.0,0.05,100,750,150,848,724,124,-0.3574958003557579,0.08789188927597512,-0.3574958003557579
0.3,0.92,0.55,15.0,0.05,100,750,300,806,686,120,0.2605484503083025,-0.15545466070177125,-0.15545466070177125
0.3,0.92,0.55,15.0,0.05,100,1500,150,781,657,124,-0.4579187659258485,0.3798567772338425,-0.4579187659258485
0.3,0.92,0.55,15.0,0.05,100,1500,300,734,616,118,-0.45859706067386763,0.6455738020177805,-0.45859706067386763
0.3,0.92,0.55,15.0,0.05,100,2500,150,736,615,121,0.7244730240122755,-0.08980299946038024,-0.08980299946038024
0.3,0.92,0.55,15.0,0.05,100,2500,300,682,569,113,-0.38135317517562994,0.04477252412111335,-0.38135317517562994
0.3,0.92,0.55,15.0,0.05,200,750,150,687,581,106,-0.08284764184790419,0.5701795236746958,-0.08284764184790419
0.3,0.92,0.55,15.0,0.05,200,750,300,604,503,101,-0.13233862821671652,0.5180156047897552,-0.13233862821671652
0.3,0.92,0.55,15.0,0.05,200,1500,150,622,516,106,0.02835590650937694,0.2795804636959279,0.02835590650937694
0.3,0.92,0.55,15.0,0.05,200,1500,300,536,439,97,-0.07349882030404745,0.5880741367420944,-0.07349882030404745
0.3,0.92,0.55,15.0,0.05,200,2500,150,605,502,103,-0.11667532487146914,0.22161257553400474,-0.11667532487146914
0.3,0.92,0.55,15.0,0.05,200,2500,300,530,436,94,-0.38890977115988906,0.5397476969396228,-0.38890977115988906
0.3,0.92,0.55,15.0,0.05,400,750,150,608,513,95,0.12983854296750327,0.8493110193650438,0.12983854296750327
0.3,0.92,0.55,15.0,0.05,400,750,300,485,412,73,0.5917744515750805,1.6980002832373433,0.5917744515750805
