low_q,high_q,mid_q,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.2,0.92,0.45,794,652,142,0.158224155397878,0.13394549616420265,0.13394549616420265
0.2,0.92,0.5,791,649,142,0.04124790498643771,0.09655858643326266,0.04124790498643771
0.2,0.92,0.55,786,645,141,0.018683132864309743,0.14467078371444161,0.018683132864309743
0.2,0.92,0.6,782,642,140,0.01997207116822957,0.2426581029592077,0.01997207116822957
0.2,0.95,0.4,742,608,134,0.08294668538790924,-0.6648162745253811,-0.6648162745253811
0.2,0.95,0.45,734,601,133,0.1948270047300856,-0.6455580280856777,-0.6455580280856777
0.2,0.95,0.5,732,599,133,0.05377469618625468,-0.5001528445746204,-0.5001528445746204
0.2,0.95,0.55,727,595,132,0.043351656526227536,-0.5488545125750696,-0.5488545125750696
0.2,0.95,0.6,724,593,131,0.0660506547478638,-0.3278333011623632,-0.3278333011623632
0.2,0.975,0.4,686,564,122,-0.05558076127156699,-0.5713309479554618,-0.5713309479554618
0.2,0.975,0.45,676,556,120,0.06238832192905926,-0.54559295488024,-0.54559295488024
0.2,0.975,0.5,675,555,120,-0.05434272119278616,-0.45003084022417567,-0.45003084022417567
0.2,0.975,0.55,669,550,119,-0.12359254806329519,-0.5054447078158527,-0.5054447078158527
0.2,0.975,0.6,666,548,118,-0.15846527724585224,-0.43500109327685343,-0.43500109327685343
0.2,0.99,0.4,654,538,116,-0.06955981986913864,-0.6557754838763018,-0.6557754838763018
0.2,0.99,0.45,644,530,114,0.06947564486220738,-0.646373959811678,-0.646373959811678
0.2,0.99,0.5,643,529,114,-0.0317239821780301,-0.47066141680798307,-0.47066141680798307
0.2,0.99,0.55,637,524,113,-0.0996109346414227,-0.34649824645888466,-0.34649824645888466
0.2,0.99,0.6,633,521,112,-0.15534397472339556,-0.2513947952520517,-0.2513947952520517
0.3,0.7,0.4,1257,1052,205,0.23787804671322574,0.18271373629663526,0.18271373629663526
0.3,0.7,0.45,1247,1044,203,0.13535280306782219,0.19336998417661302,0.13535280306782219
0.3,0.7,0.5,1247,1045,202,-0.06355563591194292,0.5447318990469544,-0.06355563591194292
0.3,0.7,0.55,1254,1051,203,-0.05376691432018553,0.5418133501054354,-0.05376691432018553
0.3,0.7,0.6,1267,1061,206,-0.14158777523701643,0.22767244079126492,-0.14158777523701643
0.3,0.8,0.4,1133,942,191,0.2525251170680977,-0.5627807175606241,-0.5627807175606241
0.3,0.8,0.45,1118,930,188,0.13860459090841853,-0.5350941322642518,-0.5350941322642518
0.3,0.8,0.5,1117,930,187,-0.010568476543867202,-0.050337026313716754,-0.050337026313716754
0.3,0.8,0.55,1115,929,186,0.05480918824238599,-0.10548605587477723,-0.10548605587477723
0.3,0.8,0.6,1114,928,186,-0.052046170753241125,0.0438170799158233,-0.052046170753241125
0.3,0.9,0.4,979,812,167,0.03683647188668045,0.15420591086302388,0.03683647188668045
0.3,0.9,0.45,960,797,163,0.0526102162892237,0.24219780620176717,0.0526102162892237
0.3,0.9,0.5,951,790,161,-0.12707987756594913,0.5451064423726167,-0.12707987756594913
0.3,0.9,0.55,945,786,159,-0.22107865493300688,0.5723084858703886,-0.22107865493300688
0.3,0.9,0.6,935,777,158,-0.28671346429478695,0.660312873002411,-0.28671346429478695
0.3,0.92,0.4,949,783,166,-0.041105725019332025,0.053286327072861434,-0.041105725019332025
0.3,0.92,0.45,931,769,162,-0.0740171690927427,0.15201756600236646,-0.0740171690927427
0.3,0.92,0.5,920,760,160,-0.2467819465895052,0.4224219211818988,-0.2467819465895052
0.3,0.92,0.55,912,754,158,-0.286166092350351,0.4529140882629969,-0.286166092350351
0.3,0.92,0.6,903,746,157,-0.3681219456802048,0.5363234063865254,-0.3681219456802048
0.3,0.95,0.4,892,735,157,-0.043207987408709125,-0.688777353709689,-0.688777353709689
0.3,0.95,0.45,871,718,153,-0.03230240010503904,-0.5888743043511377,-0.5888743043511377
0.3,0.95,0.5,861,710,151,-0.23095174284039116,-0.1293002692397094,-0.23095174284039116
0.3,0.95,0.55,853,704,149,-0.2578192893660313,-0.21171043760475872,-0.2578192893660313
0.3,0.95,0.6,845,697,148,-0.3176675207410432,-0.01697447130883815,-0.3176675207410432
0.3,0.975,0.4,836,691,145,-0.19271450884690064,-0.6016923796025581,-0.6016923796025581
0.3,0.975,0.45,813,673,140,-0.19134335389686494,-0.49057612826405655,-0.49057612826405655
0.3,0.975,0.5,804,666,138,-0.3666469879522034,-0.06306297034566431,-0.3666469879522034
0.3,0.975,0.55,795,659,136,-0.4519445522827626,-0.14826870883405083,-0.4519445522827626
0.3,0.975,0.6,787,652,135,-0.5778386119408049,-0.10397151721710225,-0.5778386119408049
0.3,0.99,0.4,804,665,139,-0.20852310994934584,-0.6811190301148962,-0.6811190301148962
0.3,0.99,0.45,781,647,134,-0.18591103540820544,-0.5865471376116415,-0.5865471376116415
0.3,0.99,0.5,772,640,132,-0.3445942418965008,-0.0810378006928554,-0.3445942418965008
0.3,0.99,0.55,763,633,130,-0.425804444805857,0.016488626686066737,-0.425804444805857
0.3,0.99,0.6,754,625,129,-0.5735614268235363,0.08268678880984806,-0.5735614268235363
