low_q,high_q,mid_q,adx_threshold,atr_stop_multiple,beta_window,pct_lookback,max_hold_bars,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.01,0.7,0.4,15.0,20.0,400,1500,150,526,447,79,0.073995514964087,0.34426154200616627,0.073995514964087
0.01,0.7,0.4,15.0,20.0,400,1500,300,401,339,62,0.006564608758948573,0.953097163003327,0.006564608758948573
0.01,0.7,0.4,15.0,20.0,400,2500,150,494,421,73,-0.3830880593146816,0.10972936582530098,-0.3830880593146816
0.01,0.7,0.4,15.0,20.0,400,2500,300,363,307,56,-0.2385923173563312,0.7815366107472279,-0.2385923173563312
0.01,0.7,0.4,15.0,20.0,500,750,150,595,507,88,0.2115120884828923,-1.4151165131598014,-1.4151165131598014
0.01,0.7,0.4,15.0,20.0,500,750,300,453,386,67,0.321348287528129,-1.1771830511135557,-1.1771830511135557
0.01,0.7,0.4,15.0,20.0,500,1500,150,532,455,77,-0.0018310181222472158,0.1685948555593104,-0.0018310181222472158
0.01,0.7,0.4,15.0,20.0,500,1500,300,403,344,59,0.22513376250664402,0.6237353529712082,0.22513376250664402
0.01,0.7,0.4,15.0,20.0,500,2500,150,490,413,77,0.025003566894933157,-0.22017016887700305,-0.22017016887700305
0.01,0.7,0.4,15.0,20.0,500,2500,300,358,301,57,0.375986248594836,0.06525102365075183,0.06525102365075183
0.01,0.7,0.4,20.0,6.0,100,750,150,1202,1013,189,0.3778511565371761,0.7445058995813006,0.3778511565371761
0.01,0.7,0.4,20.0,6.0,100,750,300,1126,943,183,0.4356349594163017,0.8895798442380702,0.4356349594163017
0.01,0.7,0.4,20.0,6.0,100,1500,150,1093,926,167,-0.19215852031922329,1.330966387722894,-0.19215852031922329
0.01,0.7,0.4,20.0,6.0,100,1500,300,1011,850,161,0.03120548494036917,1.2576816039265557,0.03120548494036917
0.01,0.7,0.4,20.0,6.0,100,2500,150,1044,885,159,0.0043324100835649615,1.2241275490976276,0.0043324100835649615
0.01,0.7,0.4,20.0,6.0,100,2500,300,948,796,152,0.19251356034579936,1.2237539792901353,0.19251356034579936
0.01,0.7,0.4,20.0,6.0,200,750,150,957,814,143,0.28452072842101467,0.309728180883429,0.28452072842101467
0.01,0.7,0.4,20.0,6.0,200,750,300,844,719,125,0.2649703665403792,0.7582481125558249,0.2649703665403792
0.01,0.7,0.4,20.0,6.0,200,1500,150,867,742,125,0.21129024134305258,0.7928786098781624,0.21129024134305258
0.01,0.7,0.4,20.0,6.0,200,1500,300,747,640,107,0.40083175039439684,1.0636194208550553,0.40083175039439684
0.01,0.7,0.4,20.0,6.0,200,2500,150,818,697,121,0.3572945717355917,0.4068549416796952,0.3572945717355917
0.01,0.7,0.4,20.0,6.0,200,2500,300,687,586,101,0.5030413710846766,1.1595665596578932,0.5030413710846766
0.01,0.7,0.4,20.0,6.0,400,750,150,915,775,140,0.1179269846293377,-0.1704954801259327,-0.1704954801259327
0.01,0.7,0.4,20.0,6.0,400,750,300,724,612,112,0.30025829888633954,-0.6345630999035344,-0.6345630999035344
0.01,0.7,0.4,20.0,6.0,400,1500,150,819,698,121,0.3583637996708457,0.5175584607326333,0.3583637996708457
0.01,0.7,0.4,20.0,6.0,400,1500,300,634,538,96,0.3674425448849829,1.0076261249614686,0.3674425448849829
0.01,0.7,0.4,20.0,6.0,400,2500,150,753,636,117,0.20794663273316497,-0.3344413786341902,-0.3344413786341902
0.01,0.7,0.4,20.0,6.0,400,2500,300,589,494,95,0.11329641554187958,0.35219778427893317,0.11329641554187958
